74523
17
33836944800
376591029000
0 1 1 2000 5468 42  (D 0,1,1) (S 779,808,172) (S 390,34,402) (S 786,812,813) (S 804,827,656) (S 624,656,87) (S 87,87,87) (S 149,149,149) (S 607,149,150) (S 150,150,150) (S 559,133,602) (S 564,602,603) (S 608,647,603) (S 609,603,648) (S 674,700,182) (S 610,648,151) (S 151,151,151) (S 611,151,649) (S 612,649,152) (S 613,152,650) (S 614,153,651) (S 615,651,376) (S 616,376,623) (S 618,484,652) (S 293,293,293) (S 58,58,58) (S 57,57,57) (S 367,376,377) (S 535,379,580) (S 120,120,120) (S 536,121,581) (S 121,121,121) (S 368,377,378) (S 369,378,379) (S 537,580,582) (S 370,380,381) (S 222,222,222) (S 153,153,153) (S 152,152,152) (S 134,134,134) (S 133,133,133) (D 0,1,1)
0 1 2 1955 4828 21  (D 0,1,1) (S 395,37,409) (S 464,409,89) (S 463,37,487) (S 705,409,735) (S 465,488,297) (S 297,297,297) (S 89,89,89) (S 38,38,38) (S 731,764,500) (S 474,500,501) (S 475,502,501) (S 733,766,767) (S 695,722,723) (S 696,364,722) (S 360,364,365) (S 732,765,365) (S 326,326,326) (S 221,221,221) (S 39,39,39) (D 0,1,1)
0 1 3 1833 4758 35  (D 0,1,1) (S 42,42,42) (S 452,76,413) (S 398,413,414) (S 399,414,415) (S 69,69,69) (S 319,319,319) (S 507,545,105) (S 509,546,547) (S 510,547,548) (S 508,105,546) (S 301,301,301) (S 106,106,106) (S 516,556,557) (S 688,715,683) (S 788,815,816) (S 271,271,271) (S 544,588,589) (S 545,589,124) (S 626,124,557) (S 76,76,76) (S 83,83,83) (S 109,109,109) (S 327,327,327) (S 37,37,37) (S 200,200,200) (S 768,200,661) (S 769,661,801) (S 630,661,662) (S 631,663,349) (S 633,309,159) (S 159,159,159) (S 634,664,665) (S 269,269,269) (D 0,1,1)
0 1 4 1996 4327 16  (D 0,1,1) (S 23,23,23) (S 640,551,166) (S 485,517,518) (S 555,597,598) (S 710,598,741) (S 377,367,19) (S 455,81,476) (S 454,475,81) (S 81,81,81) (S 186,186,186) (S 601,640,641) (S 602,641,642) (S 154,154,154) (S 96,96,96) (D 0,1,1)
0 1 5 1865 4312 32  (D 0,1,1) (S 307,307,307) (S 246,246,246) (S 247,247,247) (S 742,247,777) (S 743,778,779) (S 240,240,240) (S 115,115,115) (S 114,114,114) (S 810,174,831) (S 396,174,410) (S 471,494,495) (S 94,94,94) (S 342,342,342) (S 275,275,275) (S 314,314,314) (S 639,314,551) (S 513,551,552) (S 166,166,166) (S 477,504,24) (S 478,24,505) (S 719,317,255) (S 677,255,704) (S 255,255,255) (S 317,317,317) (S 479,506,507) (S 697,724,725) (S 708,725,429) (S 410,428,429) (S 48,48,48) (S 100,100,100) (D 0,1,1)
0 1 6 1848 4236 35  (D 0,1,1) (S 82,82,82) (S 456,477,478) (S 780,478,74) (S 546,590,73) (S 662,400,689) (S 451,400,73) (S 73,73,73) (S 518,76,83) (S 517,557,76) (S 781,74,809) (S 407,423,424) (S 655,682,424) (S 657,684,655) (S 34,34,34) (S 365,373,374) (S 366,374,375) (S 785,375,812) (S 652,678,679) (S 653,679,680) (S 13,13,13) (S 620,654,34) (S 621,34,7) (S 622,7,655) (S 7,7,7) (S 74,74,74) (S 766,111,800) (S 767,800,199) (S 199,199,199) (S 354,200,357) (S 355,357,358) (S 356,358,359) (S 770,1,348) (S 1,1,1) (D 0,1,1)
0 1 7 2000 5395 10  (D 0,1,1) (S 97,97,97) (S 408,425,426) (S 476,425,503) (S 628,597,659) (S 556,598,599) (S 20,20,20) (S 230,230,230) (S 164,164,164) (D 0,1,1)
0 1 8 1969 3781 24  (D 0,1,1) (S 119,119,119) (S 557,600,372) (S 679,107,600) (S 680,600,707) (S 228,228,228) (S 590,629,630) (S 821,173,840) (S 661,173,558) (S 519,558,559) (S 173,173,173) (S 86,86,86) (S 822,86,841) (S 669,695,696) (S 668,694,138) (S 573,138,139) (S 139,139,139) (S 142,142,142) (S 578,142,619) (S 815,142,834) (S 817,836,837) (S 818,837,838) (S 47,47,47) (D 0,1,1)
0 1 9 1998 3637 15  (D 0,1,1) (S 5,5,5) (S 385,395,396) (S 30,30,30) (S 280,280,280) (S 483,513,514) (S 744,514,559) (S 495,529,530) (S 291,291,291) (S 292,292,292) (S 444,344,467) (S 827,844,845) (S 282,282,282) (S 284,284,284) (D 0,1,1)
0 1 10 2000 6289 10  (D 0,1,1) (S 122,122,122) (S 809,830,122) (S 707,738,739) (S 811,832,659) (S 627,658,597) (S 276,276,276) (S 102,102,102) (S 748,783,626) (D 0,1,1)
