44101
15
74845800
103863000
0 1 1 1508 3037 5  (D 0,1,1) (S 52,27,36) (S 75,39,40) (S 61,31,40) (D 0,1,1)
0 1 2 1531 3008 6  (D 0,1,1) (S 36,19,26) (S 33,18,19) (S 39,20,29) (S 55,29,30) (D 0,1,1)
0 1 3 1516 2777 5  (D 0,1,1) (S 65,33,42) (S 64,33,34) (S 82,43,44) (D 0,1,1)
0 1 4 1528 2768 5  (D 0,1,1) (S 19,10,15) (S 38,20,28) (S 69,35,44) (D 0,1,1)
0 1 5 1548 3205 6  (D 0,1,1) (S 24,12,22) (S 43,22,30) (S 45,23,31) (S 27,14,24) (D 0,1,1)
0 1 6 1473 2927 6  (D 0,1,1) (S 37,20,21) (S 42,22,23) (S 20,10,16) (S 5,3,4) (D 0,1,1)
0 1 7 1467 2692 5  (D 0,1,1) (S 2,1,8) (S 15,8,18) (S 66,34,35) (D 0,1,1)
0 1 8 1563 3192 6  (D 0,1,1) (S 70,36,37) (S 72,37,48) (S 87,47,48) (S 76,39,50) (D 0,1,1)
0 1 9 1531 3133 6  (D 0,1,1) (S 21,11,12) (S 23,12,13) (S 12,6,13) (S 84,44,47) (D 0,1,1)
0 1 10 1569 3008 6  (D 0,1,1) (S 34,18,25) (S 49,26,27) (S 17,9,19) (S 31,16,21) (D 0,1,1)
0 1 11 1540 3006 5  (D 0,1,1) (S 74,38,49) (S 67,34,43) (S 47,25,26) (D 0,1,1)
0 1 12 1554 2905 6  (D 0,1,1) (S 8,4,11) (S 22,11,17) (S 28,15,16) (S 48,25,33) (D 0,1,1)
0 1 13 1543 3229 6  (D 0,1,1) (S 7,4,5) (S 11,6,7) (S 13,7,14) (S 89,49,50) (D 0,1,1)
0 1 14 1538 2846 6  (D 0,1,1) (S 6,3,10) (S 30,16,17) (S 32,17,21) (S 68,35,36) (D 0,1,1)
0 1 15 1551 2368 5  (D 0,1,1) (S 1,1,2) (S 4,2,9) (S 78,40,51) (D 0,1,1)
